platformBlocks
75, 575, 12, <null>, <null>,
-75, 575, 12, <null>, <null>,
225, 575, 12, <null>, <null>,
375, 575, 12, <null>, <null>,
525, 575, 12, <null>, <null>,
750, 575, 12, <null>, <null>,
900, 575, 12, <null>, <null>,
1050, 675, 12, <null>, <null>,
1200, 675, 12, <null>, <null>,
1350, 675, 12, <null>, <null>,
1500, 675, 12, <null>, <null>,
1650, 675, 12, <null>, <null>,
1800, 675, 12, <null>, <null>,
1950, 675, 12, <null>, <null>,
2100, 675, 12, <null>, <null>,
2250, 675, 12, <null>, <null>,
2400, 675, 12, <null>, <null>,
2550, 675, 12, <null>, <null>,
3000, 675, 12, <null>, <null>,
2850, 675, 12, <null>, <null>,
2700, 675, 12, <null>, <null>,
3150, 675, 12, <null>, <null>,
3300, 675, 12, <null>, <null>,
3450, 675, 12, <null>, <null>,
3600, 675, 12, <null>, <null>,
3750, 675, 12, <null>, <null>,
3900, 675, 12, <null>, <null>,
4050, 675, 12, <null>, <null>,
4200, 675, 12, <null>, <null>,
4350, 675, 12, <null>, <null>,
4500, 675, 12, <null>, <null>,
4650, 675, 12, <null>, <null>,
4800, 675, 12, <null>, <null>,
4950, 675, 12, <null>, <null>,
5100, 675, 12, <null>, <null>,
5250, 675, 12, <null>, <null>,
5400, 675, 12, <null>, <null>,
5550, 675, 12, <null>, <null>,
5700, 675, 12, <null>, <null>,
5850, 675, 12, <null>, <null>,
6000, 675, 12, <null>, <null>,
6150, 675, 12, <null>, <null>,
6300, 675, 12, <null>, <null>,
6450, 675, 12, <null>, <null>,
6600, 675, 12, <null>, <null>,
6900, 675, 12, <null>, <null>,
6750, 675, 12, <null>, <null>,
7050, 675, 12, <null>, <null>,
7200, 675, 12, <null>, <null>,
7350, 675, 12, <null>, <null>,
7500, 675, 12, <null>, <null>,
7650, 675, 12, <null>, <null>,
7800, 675, 12, <null>, <null>,
7950, 675, 12, <null>, <null>,
8100, 675, 12, <null>, <null>,
8250, 675, 12, <null>, <null>,
8400, 675, 12, <null>, <null>,
8550, 675, 12, <null>, <null>,
8700, 675, 12, <null>, <null>,
8850, 675, 12, <null>, <null>,
9000, 675, 12, <null>, <null>,
9150, 675, 12, <null>, <null>,
9300, 675, 12, <null>, <null>,
9450, 675, 12, <null>, <null>,
9600, 675, 12, <null>, <null>,
9750, 675, 12, <null>, <null>,
9900, 675, 12, <null>, <null>,
10050, 675, 12, <null>, <null>,
10200, 675, 12, <null>, <null>,
10350, 675, 12, <null>, <null>,
10500, 675, 12, <null>, <null>,
10650, 675, 12, <null>, <null>,
10800, 675, 12, <null>, <null>,
10950, 675, 12, <null>, <null>,
11100, 675, 12, <null>, <null>,
11250, 675, 12, <null>, <null>,
11400, 675, 12, <null>, <null>,
11550, 675, 12, <null>, <null>,
11700, 675, 12, <null>, <null>,
11850, 675, 12, <null>, <null>,
12000, 675, 12, <null>, <null>,
12150, 675, 12, <null>, <null>,
12300, 675, 12, <null>, <null>,
12450, 675, 12, <null>, <null>,
12600, 675, 12, <null>, <null>,
12750, 675, 12, <null>, <null>,
12900, 675, 12, <null>, <null>,
13050, 675, 12, <null>, <null>,
13200, 675, 12, <null>, <null>,
13350, 675, 12, <null>, <null>,
13500, 675, 12, <null>, <null>,
13650, 675, 12, <null>, <null>,
13800, 675, 12, <null>, <null>,
13950, 675, 12, <null>, <null>,
14100, 675, 12, <null>, <null>,
14250, 675, 12, <null>, <null>,
14400, 675, 12, <null>, <null>,
14550, 675, 12, <null>, <null>,
14700, 675, 12, <null>, <null>,
14850, 675, 12, <null>, <null>,
15000, 675, 12, <null>, <null>,
15150, 675, 12, <null>, <null>,
15300, 675, 12, <null>, <null>,
15450, 675, 12, <null>, <null>,
15600, 675, 12, <null>, <null>,
15750, 675, 12, <null>, <null>,
15900, 675, 12, <null>, <null>,
16050, 675, 12, <null>, <null>,
16200, 675, 12, <null>, <null>,
16350, 675, 12, <null>, <null>,
16500, 675, 12, <null>, <null>,
16650, 675, 12, <null>, <null>,
16800, 675, 12, <null>, <null>,
17100, 675, 12, <null>, <null>,
17350, 675, 12, <null>, <null>,
17200, 675, 12, <null>, <null>,
17425, 675, 12, <null>, <null>,
17700, 675, 12, <null>, <null>,
17800, 675, 12, <null>, <null>,
17950, 675, 12, <null>, <null>,
18025, 675, 12, <null>, <null>,
18300, 675, 12, <null>, <null>,
18400, 675, 12, <null>, <null>,
18550, 675, 12, <null>, <null>,
18625, 675, 12, <null>, <null>,
18900, 675, 12, <null>, <null>,
19000, 675, 12, <null>, <null>,
19150, 675, 12, <null>, <null>,
19200, 675, 12, <null>, <null>,
19350, 675, 12, <null>, <null>,
19500, 675, 12, <null>, <null>,
19650, 675, 12, <null>, <null>,
19800, 675, 12, <null>, <null>,
19950, 675, 12, <null>, <null>,
20100, 675, 12, <null>, <null>,
20250, 675, 12, <null>, <null>,
