155
platformBlocks
-75, 575, 20, <null>, <null>,
75, 575, 20, <null>, <null>,
225, 575, 20, <null>, <null>,
375, 575, 20, <null>, <null>,
525, 575, 20, <null>, <null>,
675, 575, 20, <null>, <null>,
825, 575, 20, <null>, <null>,
975, 575, 20, <null>, <null>,
1125, 575, 20, <null>, <null>,
1275, 575, 20, <null>, <null>,
1425, 575, 20, <null>, <null>,
1575, 575, 20, <null>, <null>,
1725, 575, 20, <null>, <null>,
1875, 575, 20, <null>, <null>,
2025, 575, 20, <null>, <null>,
2175, 575, 20, <null>, <null>,
2325, 575, 20, <null>, <null>,
2475, 575, 20, <null>, <null>,
2625, 575, 20, <null>, <null>,
2775, 575, 20, <null>, <null>,
2925, 575, 20, <null>, <null>,
3075, 575, 20, <null>, <null>,
3375, 575, 20, <null>, <null>,
3525, 575, 20, <null>, <null>,
3675, 575, 20, <null>, <null>,
3825, 575, 20, <null>, <null>,
3975, 575, 20, <null>, <null>,
4125, 575, 20, <null>, <null>,
4275, 575, 20, <null>, <null>,
4425, 575, 20, <null>, <null>,
4575, 575, 20, <null>, <null>,
4725, 575, 20, <null>, <null>,
5475, 575, 20, <null>, <null>,
5625, 575, 20, <null>, <null>,
5775, 575, 20, <null>, <null>,
5925, 575, 14, 53.0999984741211, 5901.6005859375,
6225, 575, 14, 53.0999984741211, 6201.6005859375,
6525, 575, 14, 53.0999984741211, 6501.6005859375,
6825, 575, 14, 53.0999984741211, 6801.6005859375,
7125, 575, 20, <null>, <null>,
8475, 575, 20, <null>, <null>,
8625, 575, 20, <null>, <null>,
8775, 575, 20, <null>, <null>,
8925, 575, 20, <null>, <null>,
9075, 575, 20, <null>, <null>,
9225, 575, 20, <null>, <null>,
9375, 575, 20, <null>, <null>,
9450, 575, 20, <null>, <null>,
9725, 575, 20, <null>, <null>,
9750, 575, 20, <null>, <null>,
10025, 575, 20, <null>, <null>,
10350, 575, 20, <null>, <null>,
10325, 575, 20, <null>, <null>,
10050, 575, 20, <null>, <null>,
10625, 575, 20, <null>, <null>,
10625, 575, 20, <null>, <null>,
10725, 575, 20, <null>, <null>,
3225, 575, 20, <null>, <null>,
12075, 575, 20, <null>, <null>,
12225, 575, 20, <null>, <null>,
12375, 575, 20, <null>, <null>,
12525, 575, 20, <null>, <null>,
12675, 575, 20, <null>, <null>,
12825, 575, 20, <null>, <null>,
12975, 575, 20, <null>, <null>,
13125, 575, 20, <null>, <null>,
13275, 575, 20, <null>, <null>,
13425, 575, 20, <null>, <null>,
13575, 575, 20, <null>, <null>,
13725, 575, 20, <null>, <null>,
13875, 575, 20, <null>, <null>,
14025, 575, 20, <null>, <null>,
14175, 575, 20, <null>, <null>,
14325, 575, 20, <null>, <null>,
14925, 575, 20, <null>, <null>,
15075, 575, 20, <null>, <null>,
15225, 575, 20, <null>, <null>,
