platformBlocks
425, 575, 12, <null>, <null>,
575, 575, 12, <null>, <null>,
725, 575, 12, <null>, <null>,
875, 575, 12, <null>, <null>,
1025, 575, 12, <null>, <null>,
1475, 75, 12, <null>, <null>,
1375, 75, 12, <null>, <null>,
1625, 75, 12, <null>, <null>,
1775, 75, 12, <null>, <null>,
1925, 75, 12, <null>, <null>,
2075, 75, 12, <null>, <null>,
2225, 75, 12, <null>, <null>,
2325, 75, 12, <null>, <null>,
2600, 75, 12, <null>, <null>,
2675, 75, 12, <null>, <null>,
2825, 75, 12, <null>, <null>,
2925, 75, 12, <null>, <null>,
3200, 75, 12, <null>, <null>,
3275, 75, 12, <null>, <null>,
3425, 75, 12, <null>, <null>,
3525, 75, 12, <null>, <null>,
3800, 75, 12, <null>, <null>,
3875, 75, 12, <null>, <null>,
4025, 75, 12, <null>, <null>,
4175, 75, 12, <null>, <null>,
4325, 75, 12, <null>, <null>,
4475, 75, 12, <null>, <null>,
4625, 75, 12, <null>, <null>,
4725, 75, 12, <null>, <null>,
5000, 75, 12, <null>, <null>,
5075, 75, 12, <null>, <null>,
5225, 75, 12, <null>, <null>,
5375, 75, 12, <null>, <null>,
5525, 75, 12, <null>, <null>,
5625, 75, 12, <null>, <null>,
5875, 75, 12, <null>, <null>,
5975, 75, 12, <null>, <null>,
6125, 75, 12, <null>, <null>,
6225, 75, 12, <null>, <null>,
6475, 75, 12, <null>, <null>,
6575, 75, 12, <null>, <null>,
6725, 75, 12, <null>, <null>,
6875, 75, 12, <null>, <null>,
7025, 75, 12, <null>, <null>,
7175, 75, 12, <null>, <null>,
7325, 75, 12, <null>, <null>,
7475, 25, 12, <null>, <null>,
7925, -25, 12, <null>, <null>,
8075, -25, 12, <null>, <null>,
8225, -25, 12, <null>, <null>,
8375, -25, 12, <null>, <null>,
8525, -25, 12, <null>, <null>,
8625, -25, 12, <null>, <null>,
8875, -25, 12, <null>, <null>,
9000, -25, 12, <null>, <null>,
9275, 25, 12, <null>, <null>,
9425, 25, 12, <null>, <null>,
9575, 25, 12, <null>, <null>,
9725, -25, 12, <null>, <null>,
9875, -25, 12, <null>, <null>,
10025, -25, 12, <null>, <null>,
10175, -25, 12, <null>, <null>,
10325, -25, 12, <null>, <null>,
10425, -25, 12, <null>, <null>,
10675, -25, 12, <null>, <null>,
10775, -25, 12, <null>, <null>,
10925, -25, 12, <null>, <null>,
11025, -25, 12, <null>, <null>,
11275, -25, 12, <null>, <null>,
11375, -25, 12, <null>, <null>,
11525, -25, 12, <null>, <null>,
