platformBlocks
75, 750, 12, <null>, <null>,
225, 750, 12, <null>, <null>,
375, 750, 12, <null>, <null>,
525, 750, 12, <null>, <null>,
675, 750, 12, <null>, <null>,
825, 750, 12, <null>, <null>,
975, 750, 12, <null>, <null>,
1125, 750, 12, <null>, <null>,
1275, 750, 12, <null>, <null>,
1450, 750, 12, <null>, <null>,
1350, 750, 12, <null>, <null>,
1725, 700, 12, <null>, <null>,
1875, 700, 12, <null>, <null>,
2025, 700, 12, <null>, <null>,
2175, 700, 12, <null>, <null>,
2300, 700, 12, <null>, <null>,
2600, 750, 12, <null>, <null>,
2625, 750, 12, <null>, <null>,
2775, 750, 12, <null>, <null>,
2925, 750, 12, <null>, <null>,
3075, 750, 12, <null>, <null>,
3225, 750, 12, <null>, <null>,
3375, 750, 12, <null>, <null>,
3525, 750, 12, <null>, <null>,
3675, 750, 12, <null>, <null>,
3825, 750, 12, <null>, <null>,
3975, 750, 12, <null>, <null>,
4125, 750, 12, <null>, <null>,
4275, 750, 12, <null>, <null>,
4425, 750, 12, <null>, <null>,
4575, 750, 12, <null>, <null>,
4725, 750, 12, <null>, <null>,
4875, 750, 12, <null>, <null>,
4925, 750, 12, <null>, <null>,
5175, 750, 12, <null>, <null>,
6225, 750, 12, <null>, <null>,
5475, 750, 12, <null>, <null>,
5625, 750, 12, <null>, <null>,
5775, 750, 12, <null>, <null>,
5825, 750, 12, <null>, <null>,
6075, 750, 12, <null>, <null>,
6125, 750, 12, <null>, <null>,
6350, 750, 12, <null>, <null>,
6425, 750, 12, <null>, <null>,
6675, 750, 12, <null>, <null>,
6825, 750, 12, <null>, <null>,
6975, 750, 12, <null>, <null>,
6975, 750, 12, <null>, <null>,
7475, 700, 12, <null>, <null>,
7575, 700, 12, <null>, <null>,
7725, 700, 12, <null>, <null>,
7875, 700, 12, <null>, <null>,
8325, 750, 12, <null>, <null>,
8475, 750, 12, <null>, <null>,
8625, 750, 12, <null>, <null>,
8775, 750, 12, <null>, <null>,
8925, 750, 12, <null>, <null>,
9075, 750, 12, <null>, <null>,
9225, 750, 12, <null>, <null>,
9375, 750, 12, <null>, <null>,
9525, 750, 12, <null>, <null>,
9675, 750, 12, <null>, <null>,
9825, 750, 12, <null>, <null>,
9975, 750, 12, <null>, <null>,
10125, 750, 12, <null>, <null>,
10150, 750, 12, <null>, <null>,
10400, 750, 12, <null>, <null>,
10450, 750, 12, <null>, <null>,
10725, 750, 12, <null>, <null>,
10875, 750, 12, <null>, <null>,
11025, 750, 12, <null>, <null>,
11175, 750, 12, <null>, <null>,
11325, 750, 12, <null>, <null>,
11475, 750, 12, <null>, <null>,
11625, 750, 12, <null>, <null>,
11775, 750, 12, <null>, <null>,
11925, 750, 12, <null>, <null>,
11975, 750, 12, <null>, <null>,
12275, 750, 12, <null>, <null>,
12525, 750, 12, <null>, <null>,
12225, 750, 12, <null>, <null>,
12575, 750, 12, <null>, <null>,
13125, 750, 12, <null>, <null>,
13275, 750, 12, <null>, <null>,
13425, 750, 12, <null>, <null>,
13575, 750, 12, <null>, <null>,
13725, 750, 12, <null>, <null>,
13875, 750, 12, <null>, <null>,
14025, 750, 12, <null>, <null>,
14175, 750, 12, <null>, <null>,
14325, 750, 12, <null>, <null>,
14475, 750, 12, <null>, <null>,
14625, 750, 12, <null>, <null>,
14775, 750, 12, <null>, <null>,
14925, 750, 12, <null>, <null>,
15075, 750, 12, <null>, <null>,
15225, 750, 12, <null>, <null>,
15375, 750, 12, <null>, <null>,
15525, 750, 12, <null>, <null>,
15575, 750, 12, <null>, <null>,
15700, 750, 12, <null>, <null>,
15950, 700, 12, <null>, <null>,
16025, 700, 12, <null>, <null>,
16275, 700, 12, <null>, <null>,
16425, 700, 12, <null>, <null>,
16575, 700, 12, <null>, <null>,
16725, 700, 12, <null>, <null>,
16925, 700, 12, <null>, <null>,
16875, 700, 12, <null>, <null>,
17225, 650, 12, <null>, <null>,
17375, 650, 12, <null>, <null>,
17825, 650, 12, <null>, <null>,
17675, 650, 12, <null>, <null>,
17975, 650, 12, <null>, <null>,
18125, 650, 12, <null>, <null>,
18375, 650, 12, <null>, <null>,
18525, 650, 12, <null>, <null>,
18675, 650, 12, <null>, <null>,
18825, 650, 12, <null>, <null>,
18975, 650, 12, <null>, <null>,
19125, 650, 12, <null>, <null>,
19275, 650, 12, <null>, <null>,
19425, 650, 12, <null>, <null>,
19575, 650, 12, <null>, <null>,
19725, 650, 12, <null>, <null>,
19825, 650, 12, <null>, <null>,
20075, 650, 12, <null>, <null>,
20125, 650, 12, <null>, <null>,
20375, 650, 12, <null>, <null>,
20475, 650, 12, <null>, <null>,
20625, 650, 12, <null>, <null>,
20775, 650, 12, <null>, <null>,
20925, 650, 12, <null>, <null>,
21075, 650, 12, <null>, <null>,
21225, 650, 12, <null>, <null>,
21375, 650, 12, <null>, <null>,
21525, 650, 12, <null>, <null>,
21675, 650, 12, <null>, <null>,
21825, 650, 12, <null>, <null>,
21975, 650, 12, <null>, <null>,
22125, 650, 12, <null>, <null>,
23025, 650, 12, <null>, <null>,
23325, 650, 12, <null>, <null>,
23175, 650, 12, <null>, <null>,
23475, 650, 12, <null>, <null>,
23925, 550, 12, <null>, <null>,
24075, 550, 12, <null>, <null>,
24375, 550, 12, <null>, <null>,
24475, 550, 12, <null>, <null>,
24625, 550, 12, <null>, <null>,
24925, 550, 12, <null>, <null>,
25175, 550, 12, <null>, <null>,
24875, 550, 12, <null>, <null>,
25275, 550, 12, <null>, <null>,
25425, 550, 12, <null>, <null>,
25575, 550, 12, <null>, <null>,
25675, 550, 12, <null>, <null>,
25825, 575, 12, <null>, <null>,
25975, 600, 12, <null>, <null>,
26125, 625, 12, <null>, <null>,
26275, 675, 12, <null>, <null>,
26425, 675, 12, <null>, <null>,
26475, 675, 12, <null>, <null>,
26625, 675, 12, <null>, <null>,
26925, 675, 12, <null>, <null>,
26775, 675, 12, <null>, <null>,
27075, 675, 12, <null>, <null>,
27225, 625, 12, <null>, <null>,
27375, 625, 12, <null>, <null>,
27625, 550, 12, <null>, <null>,
27875, 550, 12, <null>, <null>,
27925, 550, 12, <null>, <null>,
28175, 550, 12, <null>, <null>,
28725, 675, 12, <null>, <null>,
28225, 550, 12, <null>, <null>,
28300, 550, 12, <null>, <null>,
28575, 675, 12, <null>, <null>,
28875, 675, 12, <null>, <null>,
29025, 675, 12, <null>, <null>,
29175, 675, 12, <null>, <null>,
29325, 675, 12, <null>, <null>,
29550, 625, 12, <null>, <null>,
29700, 625, 12, <null>, <null>,
29850, 625, 12, <null>, <null>,
30125, 750, 12, <null>, <null>,
30225, 750, 12, <null>, <null>,
30375, 750, 12, <null>, <null>,
30525, 750, 12, <null>, <null>,
30675, 750, 12, <null>, <null>,
30825, 750, 12, <null>, <null>,
30975, 750, 12, <null>, <null>,
31125, 750, 12, <null>, <null>,
31275, 750, 12, <null>, <null>,
31375, 750, 12, <null>, <null>,
31475, 750, 12, <null>, <null>,
31575, 750, 12, <null>, <null>,
31675, 750, 12, <null>, <null>,
31775, 750, 12, <null>, <null>,
31875, 750, 12, <null>, <null>,
32025, 750, 12, <null>, <null>,
32175, 750, 12, <null>, <null>,
32325, 750, 12, <null>, <null>,
33075, 750, 12, <null>, <null>,
32475, 750, 12, <null>, <null>,
32625, 750, 12, <null>, <null>,
32775, 750, 12, <null>, <null>,
32925, 750, 12, <null>, <null>,
33225, 750, 12, <null>, <null>,
-75, 750, 12, <null>, <null>,
-225, 750, 12, <null>, <null>,
-375, 750, 12, <null>, <null>,
1800, 700, 12, <null>, <null>,
7225, 700, 12, <null>, <null>,
7375, 700, 12, <null>, <null>,
8025, 700, 12, <null>, <null>,
8175, 700, 12, <null>, <null>,
10700, 750, 12, <null>, <null>,
12825, 750, 12, <null>, <null>,
12875, 750, 12, <null>, <null>,
17075, 650, 12, <null>, <null>,
17525, 650, 12, <null>, <null>,
5225, 750, 12, <null>, <null>,
5075, 750, 12, <null>, <null>,
22275, 650, 12, <null>, <null>,
22425, 650, 12, <null>, <null>,
22575, 650, 12, <null>, <null>,
22875, 650, 12, <null>, <null>,
22725, 650, 12, <null>, <null>,
23625, 600, 12, <null>, <null>,
23775, 600, 12, <null>, <null>,
24225, 550, 12, <null>, <null>,
27525, 550, 12, <null>, <null>,
actionIndicators
1200, 700,
900, 700,
1800, 650,
2100, 650,
3600, 700,
4200, 700,
4350, 700,
4575, 700,
4950, 700,
5350, 600,
5950, 625,
7950, 650,
7150, 625,
7650, 650,
9600, 700,
10800, 700,
11100, 700,
11400, 700,
11700, 700,
12450, 625,
12150, 625,
12750, 625,
13050, 625,
13350, 700,
13950, 700,
16350, 650,
17550, 600,
17850, 600,
19350, 600,
19650, 600,
24750, 425,
25050, 425,
29550, 575,
30450, 700,
600, 700,
2700, 700,
3000, 700,
3300, 700,
4725, 700,
6550, 625,
8250, 650,
8550, 700,
8850, 700,
9900, 700,
11550, 700,
11850, 700,
13650, 700,
14250, 700,
14850, 700,
15150, 700,
14550, 700,
15450, 700,
16575, 650,
16650, 650,
16725, 650,
17250, 600,
18450, 600,
18975, 600,
5550, 700,
6150, 700,
6750, 700,
18750, 600,
19950, 525,
20250, 525,
20550, 600,
20850, 600,
21000, 600,
22200, 600,
22350, 600,
22500, 600,
