platformBlocks
450, 575, 12, <null>, <null>,
600, 575, 12, <null>, <null>,
750, 575, 12, <null>, <null>,
900, 575, 12, <null>, <null>,
1050, 575, 12, <null>, <null>,
1500, 75, 12, <null>, <null>,
1400, 75, 12, <null>, <null>,
1650, 75, 12, <null>, <null>,
1800, 75, 12, <null>, <null>,
1950, 75, 12, <null>, <null>,
2100, 75, 12, <null>, <null>,
2250, 75, 12, <null>, <null>,
2350, 75, 12, <null>, <null>,
2625, 75, 12, <null>, <null>,
2700, 75, 12, <null>, <null>,
2850, 75, 12, <null>, <null>,
2950, 75, 12, <null>, <null>,
3225, 75, 12, <null>, <null>,
3300, 75, 12, <null>, <null>,
3450, 75, 12, <null>, <null>,
3550, 75, 12, <null>, <null>,
3825, 75, 12, <null>, <null>,
3900, 75, 12, <null>, <null>,
4050, 75, 12, <null>, <null>,
4200, 75, 12, <null>, <null>,
4350, 75, 12, <null>, <null>,
4500, 75, 12, <null>, <null>,
4650, 75, 12, <null>, <null>,
4750, 75, 12, <null>, <null>,
5025, 75, 12, <null>, <null>,
5100, 75, 12, <null>, <null>,
5250, 75, 12, <null>, <null>,
5400, 75, 12, <null>, <null>,
5550, 75, 12, <null>, <null>,
5650, 75, 12, <null>, <null>,
5900, 75, 12, <null>, <null>,
6000, 75, 12, <null>, <null>,
6150, 75, 12, <null>, <null>,
6250, 75, 12, <null>, <null>,
6500, 75, 12, <null>, <null>,
6600, 75, 12, <null>, <null>,
6750, 75, 12, <null>, <null>,
6900, 75, 12, <null>, <null>,
7050, 75, 12, <null>, <null>,
7200, 75, 12, <null>, <null>,
7350, 75, 12, <null>, <null>,
7500, 25, 12, <null>, <null>,
7950, -25, 12, <null>, <null>,
8100, -25, 12, <null>, <null>,
8250, -25, 12, <null>, <null>,
8400, -25, 12, <null>, <null>,
8550, -25, 12, <null>, <null>,
8650, -25, 12, <null>, <null>,
8900, -25, 12, <null>, <null>,
9025, -25, 12, <null>, <null>,
9300, 25, 12, <null>, <null>,
9450, 25, 12, <null>, <null>,
9600, 25, 12, <null>, <null>,
9750, -25, 12, <null>, <null>,
9900, -25, 12, <null>, <null>,
10050, -25, 12, <null>, <null>,
10200, -25, 12, <null>, <null>,
10350, -25, 12, <null>, <null>,
10450, -25, 12, <null>, <null>,
10700, -25, 12, <null>, <null>,
10800, -25, 12, <null>, <null>,
10950, -25, 12, <null>, <null>,
11050, -25, 12, <null>, <null>,
11300, -25, 12, <null>, <null>,
11400, -25, 12, <null>, <null>,
11550, -25, 12, <null>, <null>,
11700, -25, 12, <null>, <null>,
11850, -25, 12, <null>, <null>,
12000, -25, 12, <null>, <null>,
12150, -25, 12, <null>, <null>,
12300, -25, 12, <null>, <null>,
12450, -25, 12, <null>, <null>,
12600, -25, 12, <null>, <null>,
12625, -25, 12, <null>, <null>,
12900, -25, 12, <null>, <null>,
13050, -25, 12, <null>, <null>,
13200, -25, 12, <null>, <null>,
13350, -25, 12, <null>, <null>,
13500, -75, 12, <null>, <null>,
13600, -75, 12, <null>, <null>,
13850, -75, 12, <null>, <null>,
13950, -75, 12, <null>, <null>,
14100, -75, 12, <null>, <null>,
14200, -75, 12, <null>, <null>,
14450, -75, 12, <null>, <null>,
14550, -75, 12, <null>, <null>,
14700, -75, 12, <null>, <null>,
14850, -75, 12, <null>, <null>,
15000, -75, 12, <null>, <null>,
15025, -75, 12, <null>, <null>,
15300, -75, 12, <null>, <null>,
15450, -75, 12, <null>, <null>,
15550, -75, 12, <null>, <null>,
15700, -50, 12, <null>, <null>,
15850, -25, 12, <null>, <null>,
16000, -25, 12, <null>, <null>,
16150, -25, 12, <null>, <null>,
16300, 0, 12, <null>, <null>,
16450, 25, 12, <null>, <null>,
16600, 25, 12, <null>, <null>,
16800, 25, 12, <null>, <null>,
16900, 25, 12, <null>, <null>,
17150, 25, 12, <null>, <null>,
17200, 25, 12, <null>, <null>,
17450, 25, 12, <null>, <null>,
17600, 25, 12, <null>, <null>,
17750, 25, 12, <null>, <null>,
17900, 25, 12, <null>, <null>,
19350, 350, 12, <null>, <null>,
19500, 350, 12, <null>, <null>,
19650, 350, 12, <null>, <null>,
19800, 350, 12, <null>, <null>,
19950, 350, 12, <null>, <null>,
20100, 350, 12, <null>, <null>,
20250, 350, 12, <null>, <null>,
20475, -150, 12, <null>, <null>,
20550, -150, 12, <null>, <null>,
20650, -150, 12, <null>, <null>,
20900, -150, 12, <null>, <null>,
21000, -150, 12, <null>, <null>,
21150, -150, 12, <null>, <null>,
21300, -150, 12, <null>, <null>,
21450, -150, 12, <null>, <null>,
21550, -150, 12, <null>, <null>,
21800, -150, 12, <null>, <null>,
21850, -150, 12, <null>, <null>,
22100, -150, 12, <null>, <null>,
22200, -150, 12, <null>, <null>,
22350, -150, 12, <null>, <null>,
22500, -150, 12, <null>, <null>,
22650, -150, 12, <null>, <null>,
22850, -200, 12, <null>, <null>,
22950, -200, 12, <null>, <null>,
23100, -200, 12, <null>, <null>,
23125, -200, 12, <null>, <null>,
23400, -250, 12, <null>, <null>,
23500, -250, 12, <null>, <null>,
23750, -250, 12, <null>, <null>,
23850, -250, 12, <null>, <null>,
24000, -250, 12, <null>, <null>,
24075, -250, 12, <null>, <null>,
24325, -250, 12, <null>, <null>,
24750, -250, 12, <null>, <null>,
24450, -250, 12, <null>, <null>,
24600, -250, 12, <null>, <null>,
25025, -250, 12, <null>, <null>,
24775, -250, 12, <null>, <null>,
25150, -250, 12, <null>, <null>,
25400, -250, 12, <null>, <null>,
25450, -250, 12, <null>, <null>,
25800, -250, 12, <null>, <null>,
25950, -250, 12, <null>, <null>,
26100, -250, 12, <null>, <null>,
26250, -250, 12, <null>, <null>,
26350, -250, 12, <null>, <null>,
26625, -250, 12, <null>, <null>,
26650, -250, 12, <null>, <null>,
26925, -250, 12, <null>, <null>,
27000, -250, 12, <null>, <null>,
27150, -250, 12, <null>, <null>,
27275, -250, 12, <null>, <null>,
27425, -300, 12, <null>, <null>,
27675, -350, 12, <null>, <null>,
27800, -350, 12, <null>, <null>,
27925, -350, 12, <null>, <null>,
28075, -350, 12, <null>, <null>,
28350, -350, 12, <null>, <null>,
28500, -350, 12, <null>, <null>,
28650, -300, 12, <null>, <null>,
28800, -300, 12, <null>, <null>,
28950, -300, 12, <null>, <null>,
29100, -300, 12, <null>, <null>,
29250, -300, 12, <null>, <null>,
29400, -300, 12, <null>, <null>,
29550, -300, 12, <null>, <null>,
29700, -300, 12, <null>, <null>,
29850, -300, 12, <null>, <null>,
30000, -300, 12, <null>, <null>,
30900, -300, 12, <null>, <null>,
30150, -300, 12, <null>, <null>,
30300, -300, 12, <null>, <null>,
30450, -300, 12, <null>, <null>,
30600, -300, 12, <null>, <null>,
30750, -300, 12, <null>, <null>,
7575, 25, 12, <null>, <null>,
7725, -25, 12, <null>, <null>,
7800, -25, 12, <null>, <null>,
16700, 25, 12, <null>, <null>,
23275, -250, 12, <null>, <null>,
22700, -150, 12, <null>, <null>,
25700, -250, 12, <null>, <null>,
27525, -300, 12, <null>, <null>,
275, 575, 12, <null>, <null>,
100, 575, 12, <null>, <null>,
-125, 575, 12, <null>, <null>,
actionIndicators
playerCheckpoints
7125, 0,
11925, -100,
17450, -50,
23875, -325,
28650, -375,
player
-150, 540,
enemies
900, 525, enemy,
3300, 25, enemy,
5850, -50, enemy,
6075, 25, enemy,
6150, 25, enemy,
6525, 25, enemy,
6375, -50, enemy,
5400, 25, enemy,
6675, 25, enemy,
6750, 25, enemy,
6600, 25, enemy,
7275, 25, enemy,
7350, 25, enemy,
7575, -25, enemy,
7500, -25, enemy,
7725, -75, enemy,
7875, -75, enemy,
7950, -75, enemy,
8475, -75, enemy,
8550, -75, enemy,
8775, -150, enemy,
9150, -150, enemy,
9300, -25, enemy,
9450, -25, enemy,
9525, -25, enemy,
9600, -25, enemy,
9750, -75, enemy,
9900, -150, enemy,
10050, -75, enemy,
10275, -75, enemy,
10350, -75, enemy,
10875, -75, enemy,
10950, -75, enemy,
11175, -150, enemy,
11325, -75, enemy,
11400, -75, enemy,
11475, -75, enemy,
11550, -75, enemy,
12075, -75, enemy,
12150, -75, enemy,
12300, -75, enemy,
12525, -75, enemy,
12750, -150, enemy,
13275, -75, enemy,
13350, -75, enemy,
13500, -125, enemy,
13575, -125, enemy,
13725, -200, enemy,
14100, -125, enemy,
14400, -200, enemy,
14550, -125, enemy,
14850, -125, enemy,
14925, -125, enemy,
15150, -200, enemy,
15300, -125, enemy,
15450, -125, enemy,
15525, -125, enemy,
15600, -125, enemy,
15750, -100, enemy,
15900, -75, enemy,
16050, -75, enemy,
16125, -75, enemy,
16350, -50, enemy,
16500, -25, enemy,
16650, -25, enemy,
16725, -25, enemy,
16875, -25, enemy,
16200, -75, enemy,
18150, -100, enemy,
18450, -25, enemy,
